candidate_id,Проблема,Тип_проблемы,Complexity_score,Частота_упоминаний,Количество_субъектов,Количество_действий,Количество_связей,Плотность_подграфа,Территории,Проблемные_признаки,Ключевые_сущности,Действия,Подтверждающие_обращения
kp_0011,снег и наледь: бездействие исполнителя,благоустройство,0.305,13,3,8,29,1.0,дом по стачек 212 корпус 2; писала обращение 174963796; заявки на 004; ул летчика лихолетова 14/2; проезд между домами 55; конце января 1; понедельник 21; мини трактор через 10,бездействие исполнителя,снег и наледь; жители; управляющая компания; администрация; бездействие исполнителя; дом по стачек 212 корпус 2; писала обращение 174963796; заявки на 004; ул летчика лихолетова 14/2; проезд между домами 55; конце января 1; понедельник 21,не устраняет; затоплено; не убирает; сообщает о проблеме; отсутствует; задержано; повреждено; опасно,13
kp_0012,здание/дом,жилищно-коммунальное,0.296,58,3,5,67,0.099328,шоссе около дома 55/1; улице шотмана дом 14; что в 2007; жильцы дома 9; улице евдокима огнева 22; сегодня уже 23; это было 13; прошу 1,проблемный сигнал,здание/дом; жители; управляющая компания; администрация; проблемный сигнал; шоссе около дома 55/1; улице шотмана дом 14; что в 2007; жильцы дома 9; улице евдокима огнева 22; сегодня уже 23; это было 13,сообщает о проблеме; задержано; отсутствует; повреждено; не убирает,58
kp_0013,снег и наледь,благоустройство,0.294,34,2,3,37,0.2901,улице шотмана дом 14; происходит в поликлинике 56; сделал прививки 3; улице евдокима огнева 22; это было 13; во дворе чудновского 2/11; домов колейность в 20; она была после 10,проблемный сигнал,снег и наледь; жители; управляющая компания; проблемный сигнал; улице шотмана дом 14; происходит в поликлинике 56; сделал прививки 3; улице евдокима огнева 22; это было 13; во дворе чудновского 2/11; домов колейность в 20; она была после 10,сообщает о проблеме; отсутствует; задержано,34
kp_0014,дорога,инфраструктура,0.293,54,3,5,62,0.117438,вы с сентября 2021; улице шотмана дом 14; жильцы дома 9; переполнена почти в 2; улице евдокима огнева 22; энергетиков дом 40/4; между домами союзный 10; на загородном проспекте 16,проблемный сигнал,дорога; жители; управляющая компания; администрация; проблемный сигнал; вы с сентября 2021; улице шотмана дом 14; жильцы дома 9; переполнена почти в 2; улице евдокима огнева 22; энергетиков дом 40/4; между домами союзный 10,сообщает о проблеме; повреждено; отсутствует; задержано; не убирает,54
kp_0015,дворовая территория: бездействие исполнителя,благоустройство,0.284,11,2,8,25,1.0,дом по стачек 212 корпус 2; писала обращение 174963796; заявки на 004; ул летчика лихолетова 14/2; мини трактор через 10; дворе улицы добровольцев 48; ул. планерная д.67; ул шотмана дом 12,бездействие исполнителя,дворовая территория; жители; управляющая компания; бездействие исполнителя; дом по стачек 212 корпус 2; писала обращение 174963796; заявки на 004; ул летчика лихолетова 14/2; мини трактор через 10; дворе улицы добровольцев 48; ул. планерная д.67; ул шотмана дом 12,не убирает; не устраняет; задержано; затоплено; загрязнено; сообщает о проблеме; повреждено; отсутствует,11
kp_0016,снег и наледь: аварийное состояние,благоустройство,0.277,11,2,6,25,1.0,очистке крыши дома 52; ул. дыбенко 27-3; ул народная д2; на улице руставели 59; дома по костромскому 42; чудновского дом 1; территории между домамиворошилова 25/2; территории между домами 25/2,аварийное состояние,снег и наледь; жители; управляющая компания; аварийное состояние; очистке крыши дома 52; ул. дыбенко 27-3; ул народная д2; на улице руставели 59; дома по костромскому 42; чудновского дом 1; территории между домамиворошилова 25/2; территории между домами 25/2,опасно; затоплено; повреждено; отсутствует; задержано; не убирает,11
kp_0017,парк/сквер,благоустройство,0.269,36,4,3,43,0.186404,шоссе около дома 55/1; вы с сентября 2021; вы с осени 2021; сегодня уже 23; рыбацкий проспект 15; напротив дома ильюшина 2; штраф от 100; арка меду 4,проблемный сигнал,парк/сквер; жители; управляющая компания; администрация; подрядчик; проблемный сигнал; шоссе около дома 55/1; вы с сентября 2021; вы с осени 2021; сегодня уже 23; рыбацкий проспект 15; напротив дома ильюшина 2,сообщает о проблеме; задержано; отсутствует,36
kp_0018,дорога: затопление/протечка,инфраструктура,0.267,9,2,5,29,1.0,уже 2; дом по стачек 212 корпус 2; по адресу бухарестская 31-5; петергофское шоссе 73; дом постройки 1988; на композиторов 29; фото сделано 21,затопление/протечка,дорога; жители; управляющая компания; затопление/протечка; уже 2; дом по стачек 212 корпус 2; по адресу бухарестская 31-5; петергофское шоссе 73; дом постройки 1988; на композиторов 29; фото сделано 21; инфраструктура,затоплено; не убирает; загрязнено; задержано; повреждено,9
kp_0019,дворовая территория,благоустройство,0.266,31,3,5,35,0.211466,улице шотмана дом 14; ул гвардейская 8; уже 40; улице евдокима огнева 22; сегодня уже 23; во дворе чудновского 2/11; она была после 10; этот месяц жкс 2,проблемный сигнал,дворовая территория; жители; управляющая компания; администрация; проблемный сигнал; улице шотмана дом 14; ул гвардейская 8; уже 40; улице евдокима огнева 22; сегодня уже 23; во дворе чудновского 2/11; она была после 10,сообщает о проблеме; отсутствует; задержано; повреждено; не убирает,31
kp_0020,дорога: бездействие исполнителя,инфраструктура,0.263,7,3,8,17,1.0,дом по стачек 212 корпус 2; писала обращение 174963796; проезд между домами 55; конце января 1; мини трактор через 10; по адресу бестужевская 61; ул шотмана дом 12,бездействие исполнителя,дорога; жители; управляющая компания; администрация; бездействие исполнителя; дом по стачек 212 корпус 2; писала обращение 174963796; проезд между домами 55; конце января 1; мини трактор через 10; по адресу бестужевская 61; ул шотмана дом 12,сообщает о проблеме; отсутствует; не убирает; затоплено; повреждено; не устраняет; задержано; опасно,7
kp_0021,парк/сквер: бездействие исполнителя,благоустройство,0.254,7,3,8,15,1.0,ни разу за 2; проезд между домами 55; конце января 1; мини трактор через 10; по адресу бестужевская 61,бездействие исполнителя,парк/сквер; жители; управляющая компания; администрация; бездействие исполнителя; ни разу за 2; проезд между домами 55; конце января 1; мини трактор через 10; по адресу бестужевская 61; благоустройство,отсутствует; не устраняет; сообщает о проблеме; опасно; повреждено; загрязнено; задержано; затоплено,7
kp_0022,водоснабжение: затопление/протечка,жилищно-коммунальное,0.253,7,3,5,20,0.897661,декабря 21г; по адресу бухарестская 31-5; проспект луначарского 84к4; дом постройки 1988; ул. павловская д17; от дома 13,затопление/протечка,водоснабжение; жители; управляющая компания; администрация; затопление/протечка; декабря 21г; по адресу бухарестская 31-5; проспект луначарского 84к4; дом постройки 1988; ул. павловская д17; от дома 13; жилищно-коммунальное,затоплено; задержано; не устраняет; загрязнено; отсутствует,7
kp_0023,дорога: аварийное состояние,инфраструктура,0.251,8,3,5,16,1.0,из льда составляет 15; на сегодняшний день 24; ул народная д2; парадная 5; территории между домамиворошилова 25/2; территории между домами 25/2,аварийное состояние,дорога; жители; управляющая компания; администрация; аварийное состояние; из льда составляет 15; на сегодняшний день 24; ул народная д2; парадная 5; территории между домамиворошилова 25/2; территории между домами 25/2; инфраструктура,опасно; повреждено; не убирает; отсутствует; задержано,8
kp_0024,дворовая территория: затопление/протечка,благоустройство,0.244,6,3,5,17,1.0,дом по стачек 212 корпус 2; заявки на 004; ул летчика лихолетова 14/2; хошимина корпуса 1и; по адресу прибрежная 2/41,затопление/протечка,дворовая территория; жители; управляющая компания; подрядчик; затопление/протечка; дом по стачек 212 корпус 2; заявки на 004; ул летчика лихолетова 14/2; хошимина корпуса 1и; по адресу прибрежная 2/41; благоустройство,затоплено; не убирает; не устраняет; задержано; повреждено,6
kp_0025,тротуар,инфраструктура,0.243,10,2,3,14,0.445238,шоссе около дома 55/1; спасть на протяжении 2; тротуар у дома 9; гатчинское шоссе 12кор; дома искровский проспект 6; лед вдоль домов 20-40,проблемный сигнал,тротуар; жители; управляющая компания; проблемный сигнал; шоссе около дома 55/1; спасть на протяжении 2; тротуар у дома 9; гатчинское шоссе 12кор; дома искровский проспект 6; лед вдоль домов 20-40; инфраструктура,сообщает о проблеме; отсутствует; задержано,10
kp_0026,мусор,жилищно-коммунальное,0.239,10,2,3,10,0.754762,домов колейность в 20; проспект героев дом 24 корпус 2; поликлиника 48; же заменят маршрутку 289; слива являются более 15; арки по ростовской 14-16,проблемный сигнал,мусор; жители; управляющая компания; проблемный сигнал; домов колейность в 20; проспект героев дом 24 корпус 2; поликлиника 48; же заменят маршрутку 289; слива являются более 15; арки по ростовской 14-16; жилищно-коммунальное,сообщает о проблеме; задержано; отсутствует,10
kp_0027,дворовая территория: аварийное состояние,благоустройство,0.233,6,3,3,13,1.0,из льда составляет 15; ул. дыбенко 27-3; чудновского дом 1; ул тихоокеанская д18; территории между домамиворошилова 25/2,аварийное состояние,дворовая территория; жители; администрация; управляющая компания; аварийное состояние; из льда составляет 15; ул. дыбенко 27-3; чудновского дом 1; ул тихоокеанская д18; территории между домамиворошилова 25/2; благоустройство,опасно; не убирает; отсутствует,6
kp_0028,тротуар: нарушение содержания территории,инфраструктура,0.233,9,2,5,14,0.870833,улица джона рида дом 7; ул летчика лихолетова 14/2,нарушение содержания территории,тротуар; жители; управляющая компания; нарушение содержания территории; улица джона рида дом 7; ул летчика лихолетова 14/2; инфраструктура,загрязнено; сообщает о проблеме; не убирает; задержано; затоплено,9
kp_0029,общественный транспорт: нарушение содержания территории,транспорт,0.231,5,2,6,14,1.0,уже 2; на работу в 5-30; адресу пограничника гарькавого 28,нарушение содержания территории,общественный транспорт; жители; управляющая компания; нарушение содержания территории; уже 2; на работу в 5-30; адресу пограничника гарькавого 28; транспорт,не убирает; загрязнено; затоплено; повреждено; задержано; отсутствует,5
kp_0030,мусор: бездействие исполнителя,жилищно-коммунальное,0.227,4,3,5,16,1.0,декабря 21г; ни разу за 2,бездействие исполнителя,мусор; жители; управляющая компания; администрация; бездействие исполнителя; декабря 21г; ни разу за 2; жилищно-коммунальное,задержано; не устраняет; загрязнено; затоплено; не убирает,4
kp_0031,парк/сквер: затопление/протечка,благоустройство,0.227,5,3,6,11,1.0,хошимина корпуса 1и; фото сделано 21,затопление/протечка,парк/сквер; жители; управляющая компания; подрядчик; затопление/протечка; хошимина корпуса 1и; фото сделано 21; благоустройство,затоплено; не убирает; повреждено; загрязнено; не устраняет; опасно,5
kp_0032,общественный транспорт,транспорт,0.226,23,2,4,28,0.22521,шоссе около дома 55/1; дублирование его автобусами 1; этого требует сп 98; же заменят маршрутку 289; улице маршала казакова 82/1; перекрестку ежедневно с 6; автобус нарушая пдд 12,проблемный сигнал,общественный транспорт; жители; управляющая компания; проблемный сигнал; шоссе около дома 55/1; дублирование его автобусами 1; этого требует сп 98; же заменят маршрутку 289; улице маршала казакова 82/1; перекрестку ежедневно с 6; автобус нарушая пдд 12; транспорт,сообщает о проблеме; отсутствует; задержано; повреждено,23
kp_0033,снег и наледь: отсутствие услуги,благоустройство,0.224,5,2,5,11,1.0,на энергетиков в 60х; дома по костромскому 42; во дворах чудновского 2/11,отсутствие услуги,снег и наледь; жители; управляющая компания; отсутствие услуги; на энергетиков в 60х; дома по костромскому 42; во дворах чудновского 2/11; благоустройство,отсутствует; задержано; не убирает; опасно; повреждено,5
kp_0034,мусор: затопление/протечка,жилищно-коммунальное,0.222,3,3,6,14,1.0,декабря 21г,затопление/протечка,мусор; жители; управляющая компания; администрация; затопление/протечка; декабря 21г; жилищно-коммунальное,затоплено; не устраняет; задержано; загрязнено; не убирает; повреждено,3
kp_0035,здание/дом: отсутствие услуги,жилищно-коммунальное,0.221,4,1,6,11,1.0,мусорной реформы от 01; на энергетиков в 60х; дома по костромскому 42,отсутствие услуги,здание/дом; жители; отсутствие услуги; мусорной реформы от 01; на энергетиков в 60х; дома по костромскому 42; жилищно-коммунальное,отсутствует; задержано; не убирает; загрязнено; опасно; повреждено,4
kp_0036,общественный транспорт: затопление/протечка,транспорт,0.219,4,2,5,12,1.0,уже 2; фото сделано 21,затопление/протечка,общественный транспорт; жители; управляющая компания; затопление/протечка; уже 2; фото сделано 21; транспорт,затоплено; повреждено; загрязнено; задержано; опасно,4
kp_0037,подъезд: аварийное состояние,жилищно-коммунальное,0.215,4,3,4,8,1.0,работает освещение в 3м; подъезд 4,аварийное состояние,подъезд; жители; подрядчик; управляющая компания; аварийное состояние; работает освещение в 3м; подъезд 4; жилищно-коммунальное,опасно; затоплено; не убирает; не работает,4
