entity_type,normalized,count
territory,ул. павловская д17,1
territory,ул. планерная д.67,1
territory,ул. седова д. 73,1
territory,ул. токарева 14,1
territory,улица джона рида дом 7,1
territory,улица дом 3,1
territory,улица ивановская 36,1
territory,улице евдокима огнева 22,1
territory,улице маршала казакова 82/1,1
territory,улице шотмана дом 14,1
territory,утром в 9,1
territory,федеральной льготе онкобольная 4ст,1
territory,фото сделано 21,1
territory,хошимина корпуса 1и,1
territory,что в 2007,1
territory,что в школе 475,1
territory,чудновского дом 1,1
territory,школа 8го,1
territory,шоссе дома с 170,1
territory,шоссе около дома 55/1,1
territory,штраф от 100,1
territory,энгельса 126 корпус 3,1
territory,энергетиков дом 40/4,1
territory,это было 13,1
territory,этого требует сп 98,1
territory,этот месяц жкс 2,1
territory,ярослава гашека лом 12/100,1
theme,благоустройство,93
theme,дороги,77
theme,дворы и территории общего пользования,76
theme,автомобильные дороги,67
theme,многоквартирные дома,22
theme,мусор/свалки/тко,21
theme,мусор,19
theme,жкх,18
theme,образование,16
theme,торговля,14
theme,общественный транспорт,13
theme,социальное обслуживание и защита,10
theme,здравоохранение/медицина,9
theme,медицина,7
theme,безопасность,5
theme,коронавирус,5
theme,строительство и архитектура,4
theme,телефонные обращения по вопросам здравоохранения,4
theme,цур,4
theme,роспотребнадзор,2
theme,улучшение жилищных условий,2
theme,учреждения культуры,2
theme,безнадзорные животные,1
theme,водоснабжение,1
theme,законность и правопорядок,1
theme,иное,1
theme,"мфц ""мои документы""",1
theme,погребение и похоронное дело,1
theme,портал госуслуг (региональный),1
theme,пушкинская карта,1
theme,реклама,1
theme,физическая культура и спорт,1
