Unnamed: 0,Направление,Дата создания,Текст
23,Автомобильные дороги,2022-02-23,"Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?"
24,Автомобильные дороги,2022-02-23,"Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было."
25,Автомобильные дороги,2022-02-23,"Колея, что кроссоверы брюхом задевают."
26,Дворы и территории общего пользования,2022-02-23,"Добрый день! Очень давно не убирали наледь и снег на дороге, во дворе пр.Непокоренных 74, со стороны пр. Непокорённых. Образовался лед и колея, становится практически невозможно проехать и припарковаться. Днище машины буквально шкрябает по ледяным наростам. Неоднократно машины застревали. Примите, пожалуйста, меры. Спасибо."
27,Дворы и территории общего пользования,2022-02-23,"НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?"
28,Автомобильные дороги,2022-02-23,"Не очищена парковка, образовалось колея в которой заостряют автомобили, вечером сильно шумят, как и днём."
29,Дворы и территории общего пользования,2022-02-23,Снег не убран у школы 34. Не пройти не проехать
30,Дворы и территории общего пользования,2022-02-23,Не убирается снег на придомовой территории по адресу Шотмана д4
31,Дворы и территории общего пользования,2022-02-23,Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.
32,Дворы и территории общего пользования,2022-02-23,Просто не проехать! О разъезде двух автомобилей и речи нет!
33,Дворы и территории общего пользования,2022-02-23,Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!
34,Дворы и территории общего пользования,2022-02-23,"Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!"
35,Дворы и территории общего пользования,2022-02-23,"Дворы просто жуть не убраны на машине проехать не возможно, с коляской просто кашмар, всё это ещё обледенело, снаружи дома почищено а двор это просто жесть"
36,Автомобильные дороги,2022-02-23,"Слишком высокая колейность на дороге. Если у тебя не полноприводный внедорожник, то припарковать машину без мучений не возможно . Дном машины скребешь лёд, колёса застревают в колее. Прошу с преминением спец техники снять лёд с проезжей части"
37,Автомобильные дороги,2022-02-23,Не убирается снег. На проезде образовалась огромная колея. Примерно 15-20 см. Создаёт трудности при парковке и иногда является причиной повреждений автомобиля.
38,Благоустройство,2022-02-23,Разбитая дорога по адресу: Энергетиков дом 40/4
39,Автомобильные дороги,2022-02-23,Весь проезд от Будапештской до Турку заполнен ямами. Они тут на любой вкус - от больших до огромных.
40,Благоустройство,2022-02-23,Дефекты покрытия. Огромные ямы
41,Благоустройство,2022-02-23,"Добрый день . Не хотела жаловаться , но похоже придётся .<br>Скорым не заехать , машину не припарковать , скользко .<br>Рыбацкий проспект 15 ,к1"
42,Благоустройство,2022-02-23,"Добрый день, меня зовут Наталья, я живу на ул. Седова д. 73.В о дворе нашего дома сплошной лёд. Наледь, колея глубокая. Не одной машине не выехать, каждую толкают. Дворников нет, хоть бы посыпали песком или солью. Когда этот бардак закончился? За что мы платим деньги??"
43,Дороги,2022-02-23,Почему не посыпано песком?????????в Павловске где поликлиника каток когда нормальная уборка будет????????
44,Благоустройство,2022-02-23,"Уважаемый губернатор! Приглашаем вас на экскурсию в Приморский район по адресу ул. Планерная д.67 (к.2,3,4- один дом)! И вы увидите, как убираются дворовые проезды, точнее не убираются! Кругов либо глыбы льда, либо море! Обращались в 004, комитет по благоустройству, заявки принимаются, но рисультата ноль. На фото не такая эпичная картина конечно..."
45,Благоустройство,2022-02-23,"Это уборка на Луначарского 42 корп 2 тоже на Пр Энгельса 130к1, Луначарского 40 и 38 сплошной каток. В этом году не хотят муниципалы чистить город и дворы. Прошлое управление Выборгского района чистила и детские площадки. А теперь все утопает то во льду то в снег засыпано. С детьми негде гулять. Отвратительная работа!!!!!!"
46,Благоустройство,2022-02-23,"Доброй ночи ! Хотим оставить вам жалобу на полное бездействие коммунальных служб ! Заявки на 004 принимают и на этом все ! За целую зиму был трактор во дворе 3 раза ! Регулярно оставляем жалобы , но воз и ныне там .Итог неубранного снега , далее растаявшего -это голый лед ! Лично я упала за день 2 раза уже ! Это дворовая территория Светлановский проспект 47 и школа китайская гимназия 652! Где не убираются вообще никогда ! Вы лично можете приехать и посмотреть состояние данных улиц ! Очень просим принять меры !"
47,Дворы и территории общего пользования,2022-02-23,"Здравствуйте. Прошу разобраться почему во дворе с начала зимы не ездит трактор и не убирает снег? Образовалась такая колеия, что машина скребет днишем по льду и нет возможности припарковаться нормально."
48,Дворы и территории общего пользования,2022-02-23,Во дворе дома по улице Стахановцев гололед
49,Дворы и территории общего пользования,2022-02-23,"За зиму ни разу не производилась очистка внутриквартального проезда по адресу ул Народная д2 . На дорожном покрытии образовалась наледь высотой достигающей 10 см и более с колеей и провалами, по сути это чистый лед , каток с ямами по которому не возможно перемещаться как пешеходам , так и автомобилям . Мои родители -пенсионеры, моя бабушка -ветеран Великой Отечественной войны , не могут безопасно выйти из собственного дома и сходить даже в магазин за продуктами! Прошу немедленно произвести очистку данного проезда от наледи и снега !"
50,Дворы и территории общего пользования,2022-02-23,"Во дворах Чудновского 2/11 и Кржижановского 13 и 15 не убраны дороги от снега и льда, один сплошной каток. Дороги ни чем не посыпаны. Машины буксуют из-за отсутствия уборки во дворах. Просьба очистить дороги от снега и льда во дворах."
51,Дворы и территории общего пользования,2022-02-23,"Во дворе Чудновского 2/11 и Кржижановского д. 13 и д. 15 не убраны дворовые дороги и ни чем не посыпаны, один сплошной каток, от остановки до дома не возможно пройти. Просьба очистить от наледи дороги во дворах."
52,Дворы и территории общего пользования,2022-02-23,Управляющая компания бездействует тротуары все во льду гололёд
53,Дворы и территории общего пользования,2022-02-23,Во дворе по адресу Красное Село ул Гвардейская 8 к2 невозможно ходить!Люди ломают руки и ноги!Машинам тоже проехать без повреждений не удаётся!Такой беспредел твориться на протяжении всей зимы!Примите пожалуйста меры!
54,Дворы и территории общего пользования,2022-02-23,"Ледяные дороги... Подскользнулась, упала и потянула руку!!!"
55,Дворы и территории общего пользования,2022-02-23,"Необходимо с помощью спец техники очистить проезжую часть. Машину не могут нормально проехать, про людей вообще молчу, там просто нет для них безопасной дороги"
56,Дворы и территории общего пользования,2022-02-23,Наледь. Нед посылки ПГМ.
57,Дворы и территории общего пользования,2022-02-23,Огромная ледяная колея. Машина цепляет днищем. Идти пешком тоже невозможно из за льда.
58,Дворы и территории общего пользования,2022-02-23,"Гололед у дома по российский пр. Д.14 Не подойти ни к аптеке, ни к магазинам. Вдоль дома можно пройти только держась за стену дома. Пешеходные дорожки сплошной лед."
59,Дворы и территории общего пользования,2022-02-23,"Не чистится проезд между домами 9 и 13 по ул.Чудновского, вот уже 8 дней. Не пройти, и не проехать."
60,Дворы и территории общего пользования,2022-02-23,"Не чистят снег, гололед вокруг дома 13 по ул. Чудновского. Пешеходы падают, как кегли."
61,Дороги,2022-02-23,И там же гигантская яма - с ней тоже никто ничего не длелает: https://vk.com/wall-157028191_43820?reply=43922&thread=43920
62,Благоустройство,2022-02-23,Ситцевая улица
63,Дороги,2022-02-23,"Добрый день. На ул. Софийской в Озкрках Выборгского р-на СПб две громадные ямы в асфальте. Машины ломают колеса. Также там не работает сток талой воды, сама улица не чищена. Движение по улице одностороннее, альтернативы проезда нет. Примите срочно меры по приведению улицы в надлежащее состояние!!! Ликвидируйте ямы на проезжей части!!!"
64,Благоустройство,2022-02-23,"Добрый вечер! По улице архитектора Белова отсутствует возможность проехать к жилым домам по причине огромных ям. Проблема сохраняется уже не первый год. На текущий момент там постоянно застревают машины жильцов (это единственный проезд и у меня, например, отсутствует возможность отвезти ребёнка к врачу тк просто не выехать). Более того даже вызвать скорую помощь является проблемой: вместо оказания помощи долгое время машины пытаются вытолкать из ям). А счёт часто идёт на минуты. Прошу помочь в решении данного вопроса оперативно, потому что ожидать конкретной даты для кого-то может стать критичным. Проезд к дому всего один. За последние несколько дней только я видела, что скорую выталкивали дважды. Одно видео прилагаю. Спасибо за понимание..."
65,Дороги,2022-02-23,Здравствуйте! Автобусная станция Ручьи! Автобусы застривают на вьезде и на выезде со станции!!! Большие глубокие ямы!!! Скоро будет не вьехать и не выехать вовсе.
66,Автомобильные дороги,2022-02-23,Очень глубокая яма. При оттепели она заполняется водой и ее не видно. Можно сильно повредить колесо.
67,Автомобильные дороги,2022-02-23,"Автомобильные выезды из нашего квартала(от дома по адресу Бухарестская 31-5) на улицу Турку или на улицу Будапештская в ужасающем состоянии. Огромные ямы в асфальте,в которых скапливается вода,лужи,грязь. Самое интересно,что 4 года назад эти выезды ремонтировались. Но ремонт был выполнен некачественно крайне. Нужно найти исполнителей ,должна же быть какой-то гарантийный срок.. Безобразие"
68,Автомобильные дороги,2022-02-23,"Здравствуйте. Разбита дорога на внутриквартальном проезде между домами Союзный 10 и 8 к.1 на выезде на сам Союзный проспект. На самом проспекте также огромные ямы требующие срочного ремонта. Прошу не писать отписок и оперативно провести ремонт, временную подсыпку до основного ремонта."
69,Автомобильные дороги,2022-02-23,Ямы на дороге! На протяжении всего Загородного проспекта есть глубокие ямы. На фото участок дороги на Загородном проспекте 16. На фотографиях виден масштаб.
70,Автомобильные дороги,2022-02-23,Большая яма на дороге.
71,Автомобильные дороги,2022-02-23,"От лица коллектива Оллфолейблс Рус и себя лично, прошу отремонтировать дорогу по адресу СПб, Красносельский район, Петергофское шоссе 73. На участке от железнодорожных путей до Петергофского шоссе 73 лит А , протяженностью 200 метров сплошные ямы . Глубина ям составляет от 10 до 27 см ( фото прилагается). Количество ям устрашает пешеходов и автолюбителей. Я лично вчера проехал по луже, которая прикрыла яму, после чего мне разорвало покрышку и согнуло колесный диск на автомобиле. После чего я понес существенные финансовые потери. Ежедневно автомашины увозят на эвакуаторах после попадания машин в ямы. Как эти ямы только не ремонтировали, засыпали камнями, закладывали кирпичами, даже заливали БЕТОНОМ!!!!( фото прилагается). Прошу отремонтировать данный участок с соблюдением всех технологий укладки асфальта."
72,Автомобильные дороги,2022-02-23,"Дорога вся в глубоких ямах. От талого снега ямы заполнились водой и не видно куда ехать. Та часть, которая не в ямах покрыта огромным количеством льда, машины застревают и не могут проехать."
73,Автомобильные дороги,2022-02-23,"Ямы на Огородном переулке, ориентир Трефолева 4к1."
74,Автомобильные дороги,2022-02-23,"Ямы по всей улице Руднева. Просьба провести ремонт, не ямочный, а капитальный, невозможно ездить!!"
75,Автомобильные дороги,2022-02-23,"Катастрофическое состояние асфальта на всей улице Есенина, приходится маневрировать вокруг ям, выезжая на встречную полосу, просьба провести ремонт дороги, не ямочный, а капитальный, после зимы ямы стали ещё больше. Спасибо!"
76,Автомобильные дороги,2022-02-23,"Уберите, пожалуйста, свалку снега прям перед пешеходным переходом. 59.930175, 30.297854"
77,Благоустройство,2022-02-23,
78,Дороги,2022-02-23,"Город грязный, снег не вывозится, куча чёрных глыб по городу, эта грязь тает, образуя большие лужи, затем опять лёд. По городу невозможно передвигаться!!! У нас такого никогда не было!!! Почему снег не вывозите из города, не полёте лёд?"
79,Благоустройство,2022-02-23,"[id437734987|Наталья], на Петроградскую загляните....У нас такого беспредела никогда не было.Глава только зар.плату получает,а что район весь в грязи и чёрных снежных куч утопает не видит!Видно совсем со зрением беда!!!Или дальше своего кабинета не выходит!"
80,Дороги,2022-02-23,"Заявка принята 2февраля,а это 21февраля,отличная уборка района"
81,Дороги,2022-02-23,"Прошу разобраться с уборкой наледи в Красносельском районе. У домов колейность в 20 см! Срок рассмотрения заявок 2 недели. Я должна обойти весь район и оставить по каждому адресу заявки? Это разве моя работа или всё-таки администрации района и города? Даже по оформленным заявкам часто уборка производится для фотофиксации, т.е. только выборочно. Зато по утрам под окнами ездит трактор с поднятой щёткой - тоже создаёт видимость."
82,Дороги,2022-02-23,"Доброго вечера, прошло более месяца после последней уборки двора, она была после 10.01.2022 . На мои заявки, ответ ждите. Спасибо, сейчас мороз, гололед дойти до остановки, проблема."
83,Дороги,2022-02-23,"[id614872202|Юлия], ещё бы улицы в порядок привели!Позорище,а не район!А Защитников С ПРАЗДНИКОМ!!!<br>Ещё бы корпуса ""Можайки""отремонтировали.Скоро на голову рухнут!Особенно Дом культуры!!!!"
84,Дороги,2022-02-23,Стеклянная улица ни разу не убиралась за зиму
85,Благоустройство,2022-02-23,"Здравствуйте, с праздником вас. Я опять с жалобами: Софийская 42 к2, руками вообще не работают"
86,Дороги,2022-02-23,В Парголово вообще не убирается ул Тихоокеанская! Одни отписки...
87,Дороги,2022-02-23,Мошенничество в сфере туризма? А в сфере уборки города всё уже в порядке? Все дела пределаны ? Везде чистота и порядок?
88,Дороги,2022-02-23,Еще одна машина скорой помощи не смогла доехать до пациента застряв на этой улице.
89,Благоустройство,2022-02-23,"[club189271005|Государственная жилищная инспекция СПб] , прошу обратить внимание на неисполнение обязательств Администрацией Невского района по уборке земель общего пользования"
90,Благоустройство,2022-02-23,"У нашего дома по адресу  Пограничника Гарькавого 28 корп.4 . Красносельский район, снег за зиму не убирался ни разу, сейчас не возможно дойти до транспорта на пр. Ветеранов или на Пограничника Гарькавого, ВСЕ ЗАЛЕДЕНЕЛО!!!!!!! МАШИНЫ НЕ МОГУТ ВЫЕХАТЬ ИЗ ДВОРА!!!!!!!!!!!!!!!!!!!!!!!"
91,Мусор,2022-02-23,"Мешки с мусором лежат постоянно прямо на тротуаре, рядом с домом на Наличной, 22.около входа в аптеку Озерки."
92,Дороги,2022-02-23,"Спасибо за интересную историю! Про берлинскую копию даже не слышал раньше.<br>Кстати, если будет возможность, могли бы обратить внимание руководства нашего района на лужи по обеим сторонам моста. Обращения в «наш Петербург» писал - ответы-отписки о «произведённой уборке» (в переводе на язык живых людей: само высохло).<br>Да и во Львином переулке просто чудовищная лужа на пешеходном переходе близ ул Декабристов."
93,Благоустройство,2022-02-23,"[id437734987|Наталья], эту песню я слышу уже два месяца))"
94,Благоустройство,2022-02-23,"Кировский район, дом по Стачек 212 корпус 2. Лужа длинной более 10 метров, на всю ширину свободной проезжей части со стороны парадных. Образовалась из-за полной блокировки и закупорки ледяным валом ливневых стоков. За всю зиму двор ни разу! не был убран от снега и наледи службой, нанятой УК. Единственная пешеходная дорога от дома также ни разу не чистилась от снега. Вчера она представляла собой ледяной каток. Жалобы о не уборке снега и наледи на портал Санкт-Петербург жители дома направляют с начала зимы. Наледь не убиралась ни разу. Немного снега было убрано 8.02 2022. - тогда мы впервые увидели во дворе технику, сгребающую снег и работников. Больше ни техника ни работники в нашем дворе не повлялись."
95,Дороги,2022-02-23,"Невозможно пройти ни на почту, ни в магазин, Большая Пороховская 56."
96,Дороги,2022-02-23,"Добрый день, Александр Дмитриевич! Сегодня в Калининском районе просто не пройти, улицы никто не убирает, мост по Гражданскому проспекту через Муринский ручей весь покрыт наледью и водой, жители на полусогнутых ногах, держась за перила ,передвигаются, с детьми и колясками вообще нереально пройти . Прошу обратить внимание на отсутствие уборки снега."
97,Автомобильные дороги,2022-02-23,"Добрый день. На улице Руставели 59 при въезде в карман на дороге не обирают наледь с дороги уже больше 3 недель , из-за этого участок дороги становится очень опасный и машинам не разъехаться, просьба большая направить это обращение к контролирующим этот участок службу, прикладываю фото наледи ."
98,Автомобильные дороги,2022-02-23,Улицу не чистят от снега. На дороге наледи. Антигололедными средствами улица не обрабатывается.
99,Дороги,2022-02-23,"[club157028191|Комитет по благоустройству Санкт-Петербурга], уберите лёд и снег от пр.Науки 15. Всю зиму ни одной уборки. Это же полное позорище"
100,Дороги,2022-02-23,"[club145945152|Адмиралтейский район Санкт-Петербурга], здравствуйте, сегодня 23.02 наледь как была , так и осталась , я уже не говорю про снег , с 14.02 по 23.02 даже дворник с лопатой не пробежал , песком ничего не посыпали и не убрали , фото прилагаю , позорище !!!!!( альбуминная улица ) надевать нужно коньки и катиться !<br>Отдельное спасибо администрации Московского района , что на улице заозерной всю зиму работала техника каждый день , сейчас все вычищено и посыпано снегом , техника работает !!! Другим районам на заметку !"
101,Дороги,2022-02-23,займитесь лучше уборкой льда и снега. Позорище даже на фоне соседнего Красногвардейского.
102,Благоустройство,2022-02-23,"На вчерашний день,а сегодня каток !с 31 января )))"
103,Благоустройство,2022-02-23,"Невозможно пройти ни на почту, ни в магазин, Большая Пороховская 56."
104,Дороги,2022-02-23,"Добрый день! Обращаюсь к Вам от лица жителей ЖК ""Цветной город"", дома 12 на ул. Чарушинская. В очередной раз приходится по пешеходным дорожкам не идти, а катиться. Всё во льду. В этом году я упала в своём же ЖК уже 4 раза. Прошу принять меры! Заранее спасибо.<br>При необходимости могу приложить фото.<br>С уважением, Александра!"
